"Наименование субъекта","Населенный пункт/город/область","SO2","NOx","ЛОСНМ","CO","С","NH3","СН4","Всего","Источник  (АТ,ЖДТ)","Год"
"Республика Башкортостан","Уфа",0.4,6.8,7.79,65.99,0.14,0.16,0.3,81.6,"АТ",2014
"Республика Башкортостан","Стерлитамак",0.08,1.4,1.5,11.9,0.03,0.03,0.1,15,"АТ",2014
"Республика Башкортостан","Агидель",0.01,0.1,0.2,1.2,0.003,0.003,0.006,1.5,"АТ",2014
"Республика Башкортостан","Баймак",0.02,0.4,0.4,3.2,0.01,0.01,0.02,4,"АТ",2014
"Республика Башкортостан","Белебей",0.04,0.6,0.7,5.2,0.013,0.01,0.03,6.6,"АТ",2014
"Республика Башкортостан","Белорецк",0.04,0.7,0.7,5.8,0.014,0.01,0.03,7.2,"АТ",2014
"Республика Башкортостан","Бирск",0.02,0.4,0.4,3.1,0.01,0.01,0.02,4,"АТ",2014
"Республика Башкортостан","Благовещенск",0.02,0.3,0.3,2.7,0.01,0.01,0.01,3.3,"АТ",2014
"Республика Башкортостан","Давлеканово",0.02,0.3,0.3,2.5,0.01,0.01,0.01,3.2,"АТ",2014
"Республика Башкортостан","Дюртюли",0.03,0.4,0.5,3.7,0.01,0.01,0.02,4.7,"АТ",2014
"Республика Башкортостан","Ишимбай",0.03,0.6,0.6,4.9,0.01,0.01,0.03,6.2,"АТ",2014
"Республика Башкортостан","Кумертау",0.02,0.4,0.4,3.1,0.01,0.01,0.02,3.9,"АТ",2014
"Республика Башкортостан","Мелеуз",0.03,0.5,0.6,4.7,0.01,0.01,0.03,6,"АТ",2014
"Республика Башкортостан","Нефтекамск",0.05,0.8,0.9,7.1,0.02,0.02,0.04,8.9,"АТ",2014
"Республика Башкортостан","Октябрьский",0.04,0.6,0.7,5.5,0.01,0.01,0.03,7,"АТ",2014
"Республика Башкортостан","Салават",0.05,0.9,1,7.6,0.02,0.02,,9.5,"АТ",2014
"Республика Башкортостан","Сибай",0.022,0.36,0.4,3.2,0.0076,0.0078,0.0168,4,"АТ",2014
"Республика Башкортостан","Туймазы",0.05,0.9,0.9,7.5,0.018,0.02,0.04,9.4,"АТ",2014
"Республика Башкортостан","Учалы",0.03,0.5,0.5,4.2,0.01,0.01,0.02,5.2,"АТ",2014
"Республика Башкортостан","Янаул",0.02,0.3,0.4,3,0.01,0.01,0.02,3.7,"АТ",2014
"Республика Марий Эл",,0.3,6.4,5.8,44,0.1,0.1,0.2,57,"АТ",2014
"Республика Марий Эл","Йошкар-Ола",0.08,1.3,1.5,11.5,0.03,0.03,0.1,14.4,"АТ",2014
"Республика Марий Эл","Волжск",0.02,0.3,0.3,2.4,0.005,0.01,0.01,3,"АТ",2014
"Республика Марий Эл","Козьмодемьянск",0.01,0.1,0.1,0.9,0.002,0.002,0.005,1.1,"АТ",2014
"Республика Мордовия",,0.4,7.2,6.7,50.1,0.1,0.2,0.3,64.9,"АТ",2014
"Республика Мордовия","Саранск",0.09,1.7,2,15.3,0.03,0.04,0.1,19.2,"АТ",2014
"Республика Татарстан (Татарстан)",,1.5,31.1,29.6,217.9,0.4,0.9,1.2,282.6,"АТ",2014
"Республика Татарстан (Татарстан)","Казань",0.3,5.9,7.32,60.08,0.1,0.17,0.3,74.2,"АТ",2014
"Республика Татарстан (Татарстан)","Набережные Челны",0.19,3.1,3.5,27.6,0.06,0.07,0.1,34.7,"АТ",2014
"Удмуртская Республика",,0.8,14.7,13.6,101.6,0.2,0.4,0.5,131.8,"АТ",2014
"Удмуртская Республика","Ижевск",0.22,3.7,4.2,32.8,0.07,0.09,0.2,41.4,"АТ",2014
"Удмуртская Республика","Воткинск",0.02,0.4,0.5,3.9,0.006,0.01,0.02,4.9,"АТ",2014
"Удмуртская Республика","Глазов",0.02,0.4,0.5,3.5,0.006,0.01,0.02,4.3,"АТ",2014
"Удмуртская Республика","Камбарка",0.003,0.1,0.1,0.6,0.001,0.002,0.003,0.7,"АТ",2014
"Удмуртская Республика","Можга",0.01,0.3,0.3,2.3,0.004,0.01,0.01,2.9,"АТ",2014
"Удмуртская Республика","Сарапул",0.02,0.4,0.5,3.9,0.006,0.01,0.02,4.9,"АТ",2014
"Чувашская Республика - Чувашия",,0.5,10.4,9.5,71.9,0.2,0.2,0.4,93.1,"АТ",2014
"Чувашская Республика - Чувашия","Чебоксары",0.13,2.2,2.5,19.6,0.04,0.05,0.1,24.6,"АТ",2014
"Чувашская Республика - Чувашия","Новочебоксарск",0.03,0.5,0.6,4.7,0.01,0.01,0.03,5.9,"АТ",2014
"Чувашская Республика - Чувашия","Канаш",0.01,0.2,0.2,2,0.005,0.005,0.01,2.5,"АТ",2014
"Чувашская Республика - Чувашия","Шумерля",0.02,0.3,0.3,2.2,0.005,0.005,0.01,2.8,"АТ",2014
"Чувашская Республика - Чувашия","Алатырь",0.02,0.3,0.3,2.6,0.006,0.007,0.01,3.3,"АТ",2014
"Пермский край",,1.6,30.3,27.5,207.7,0.5,0.7,1.1,269.4,"АТ",2014
"Пермский край","Александровск",0.01,0.2,0.2,1.7,0.004,0.004,0.01,2.2,"АТ",2014
"Пермский край","Березники",0.06,1.1,1.2,9.3,0.022,0.023,0.05,11.8,"АТ",2014
"Пермский край","Гремячинск",0.005,0.1,0.1,0.8,0.002,0.002,0.004,1,"АТ",2014
"Пермский край","Губаха",0.01,0.2,0.2,1.6,0.003,0.004,0.01,2,"АТ",2014
"Пермский край","Кизел",0.01,0.1,0.2,1.2,0.002,0.003,0.01,1.5,"АТ",2014
"Пермский край","Красновишерск",0.01,0.2,0.2,1.7,0.004,0.004,0.01,2.1,"АТ",2014
"Пермский край","Краснокамск",0.02,0.4,0.5,3.8,0.008,0.011,0.02,4.8,"АТ",2014
"Пермский край","Лысьва",0.03,0.5,0.6,4.5,0.011,0.011,0.02,5.7,"АТ",2014
"Пермский край","Пермь",0.4,7.1,7.95,66.97,0.16,0.16,0.35,83.1,"АТ",2014
"Пермский край","Чайковский",0.05,0.9,1,7.7,0.019,0.019,0.04,9.7,"АТ",2014
"Пермский край","Чусовой",0.02,0.4,0.4,3.4,0.008,0.009,0.02,4.3,"АТ",2014
"Кировская область",,0.7,12.8,11.6,87.4,0.2,0.3,0.5,113.4,"АТ",2014
"Кировская область","Киров",0.17,2.9,3.4,26,0.06,0.068,0.14,32.7,"АТ",2014
"Кировская область","Кирово-Чепецк",0.02,0.4,0.4,3.3,0.007,0.009,0.02,4.2,"АТ",2014
"Кировская область","Вятские Поляны",0.01,0.2,0.2,1.5,0.003,0.004,0.01,1.8,"АТ",2014
"Кировская область","Слободской",0.01,0.2,0.2,1.7,0.004,0.004,0.01,2.1,"АТ",2014
"Кировская область","Котельнич",0.01,0.1,0.2,1.2,0.003,0.003,0.01,1.5,"АТ",2014
"Оренбургская область",,1.6,29.7,26.2,201.3,0.6,0.6,1,261,"АТ",2014
"Оренбургская область","Оренбург",0.28,4.8,5.4,42.2,0.096,0.108,0.2265,53,"АТ",2014
"Оренбургская область","Орск",0.08,1.4,1.7,12.8,0.022,0.038,0.0715,16.1,"АТ",2014
"Пензенская область",,0.5,10.9,10.7,77.5,0.1,0.3,0.4,100.5,"АТ",2014
"Пензенская область","Пенза",0.12,2.3,2.9,21.7,0.03,0.07,0.12,27.2,"АТ",2014
"Пензенская область","Заречный",0.01,0.3,0.4,2.7,0.003,0.009,0.02,3.4,"АТ",2014
"Пензенская область","Каменка",0.01,0.2,0.2,1.9,0.003,0.006,0.01,2.3,"АТ",2014
"Пензенская область","Сердобск",0.01,0.1,0.2,1.3,0.002,0.004,0.01,1.6,"АТ",2014
"Пензенская область","Нижний Ломов",0.002,0.04,0.05,0.4,0.001,0.001,0.002,0.4,"АТ",2014
"Пензенская область","Кузнецк",0.02,0.4,0.5,3.5,0.005,0.012,0.02,4.4,"АТ",2014
"Пензенская область","Спасск",0.002,0.04,0.05,0.4,0.001,0.001,0.002,0.5,"АТ",2014
"Пензенская область","Никольск",0.01,0.1,0.1,1,0.002,0.003,0.01,1.3,"АТ",2014
"Пензенская область","Городище",0.003,0.05,0.06,0.5,0.001,0.001,0.003,0.6,"АТ",2014
"Пензенская область","Белинский",0.003,0.05,0.07,0.5,0.001,0.002,0.003,0.6,"АТ",2014
"Самарская область",,1.6,32.4,30.4,226.5,0.5,0.8,1.2,293.5,"АТ",2014
"Самарская область","Самара",0.5,8.9,9.97,85.1,0.2,0.19,0.4,105.3,"АТ",2014
"Самарская область","Тольятти",0.21,3.8,4.7,35.9,0.06,0.1,0.2,45,"АТ",2014
"Самарская область","Сызрань",0.04,0.8,1,7.5,0.01,0.02,0.04,9.3,"АТ",2014
"Самарская область","Жигулевск",0.03,0.5,0.6,4.5,0.01,0.01,0.02,5.7,"АТ",2014
"Самарская область","Новокуйбышевск",0.03,0.6,0.7,5.3,0.01,0.02,0.03,6.6,"АТ",2014
"Самарская область","Чапаевск",0.02,0.3,0.4,3.1,0.01,0.01,0.02,3.9,"АТ",2014
"Самарская область","Октябрьск",0.01,0.1,0.1,1,0.002,0.003,0.01,1.3,"АТ",2014
"Самарская область","Отрадный",0.01,0.3,0.3,2.3,0.005,0.01,0.01,2.9,"АТ",2014
"Саратовская область",,1.5,29.2,26.7,200.7,0.5,0.7,1.1,260.2,"АТ",2014
"Саратовская область","Саратов",0.36,6,6.9,53.4,0.12,0.14,0.3,67.2,"АТ",2014
"Саратовская область","Балаково",0.07,1.2,1.5,11.3,0.02,0.03,0.1,14.2,"АТ",2014
"Саратовская область","Энгельс",0.11,1.8,2.1,16.3,0.03,0.04,0.1,20.5,"АТ",2014
"Саратовская область","Балашов",0.04,0.7,0.8,5.9,0.01,0.02,0.03,7.4,"АТ",2014
"Саратовская область","Вольск",0.03,0.6,0.6,4.9,0.01,0.01,0.03,6.2,"АТ",2013
"Ульяновская область",,0.6,12.3,11.4,85.7,0.2,0.3,0.5,111.1,"АТ",2014
"Ульяновская область","Ульяновск",0.1,2.7,3.4,25.9,0.04,0.08,0.1,32.4,"АТ",2014
"Ульяновская область","Димитровград",0.03,0.5,0.7,5.1,0.01,0.02,0.03,6.4,"АТ",2014
"Приволжский федеральный округ",,15.7,308.3,284.7,2135,5,7.7,11.3,2767.7,"АТ",2014
"Нижегородская область",,0.0016,0.3,0.04,0.1,0.04,0.0001,0.002,0.5,"ЖДТ",2014
"Республика Башкортостан",,0.0024,0.9,0.1,0.3,0.1,0.0002,0.004,1.4,"ЖДТ",2014
"Республика Марий Эл",,5E-005,0.1,0.01,0.03,0.01,2E-005,0.0005,0.2,"ЖДТ",2014
"Республика Мордовия",,0.0001,0.2,0.02,0.04,0.02,3E-005,0.001,0.2,"ЖДТ",2014
"Республика Татарстан (Татарстан)",,0.0001,0.3,0.03,0.1,0.03,4E-005,0.001,0.4,"ЖДТ",2014
"Удмуртская Республика",,0.0002,0.5,0.1,0.1,0.1,0.0001,0.002,0.8,"ЖДТ",2014
"Чувашская Республика - Чувашия",,0.0002,0.5,0.1,0.1,0.1,0.0001,0.002,0.7,"ЖДТ",2014
"Пермский край",,0.0003,0.5,0.06,0.1,0.06,0.0001,0.002,0.8,"ЖДТ",2014
"Кировская область",,0.0049,1,0.1,0.3,0.1,0.0002,0.004,1.5,"ЖДТ",2014
"Оренбургская область",,0.0326,3.2,0.4,0.9,0.4,0.0005,0.01,4.9,"ЖДТ",2014
"Пензенская область",,0.0003,0.6,0.1,0.2,0.1,0.0001,0.003,0.9,"ЖДТ",2014
"Самарская область",,0.0132,0.7,0.1,0.2,0.1,0.0001,0.003,1,"ЖДТ",2014
"Саратовская область",,0.0471,3.1,0.4,0.8,0.4,0.0005,0.01,4.7,"ЖДТ",2014
"Ульяновская область",,0.028,1.1,0.1,0.3,0.1,0.0002,0.005,1.7,"ЖДТ",2014
"Приволжский федеральный округ",,0.131,12.9,1.5,3.5,1.5,0.0022,0.06,19.6,"ЖДТ",2014
"Курганская область",,0.3,6.6,6.2,46.3,0.1,0.2,0.2,60,"АТ",2014
"Курганская область","Курган",0.1,1.9,2.2,17,0.04,0.05,0.1,21.4,"АТ",2014
"Курганская область","Шадринск",0.02,0.4,0.5,3.5,0.01,0.01,0.02,4.4,"АТ",2014
"Свердловская область",,2.4,48.2,44.7,333.2,0.8,1.2,1.8,432.3,"АТ",2014
"Свердловская область","Алапаевск",0.02,0.4,0.5,3.6,,0.01,0.02,4.5,"АТ",2014
"Свердловская область","Асбест",0.01,0.3,0.4,2.9,0.003,0.01,0.02,3.6,"АТ",2014
"Свердловская область","Верхняя Пышма",0.07,1.1,1.2,9.5,0.03,0.02,0.05,12,"АТ",2014
"Свердловская область","Верхняя Салда",0.02,0.4,0.5,3.7,0.01,0.01,0.02,4.7,"АТ",2014
"Свердловская область","Екатеринбург",0.86,15.1,17.04,142.4,0.35,0.3,0.73,176.7,"АТ",2014
"Свердловская область","Ирбит",0.03,0.5,0.6,4.6,0.01,0.01,0.02,5.8,"АТ",2014
